Название,Компания,Зарплата,Ссылка,Регион,Дата,Опыт работы,Территория_ВО,Категория
Руководитель подразделения (Федеральное учреждение),Филиал ГКУ Владимирской области Центр занятости населения Владимирской области Владимирский,Данные отсутствуют,https://hh.ru/vacancy/120921251,Владимир,23.05.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
"Кладовщик (ТЦ ""Мегаторг"")",OSTIN,от 28700 руб.,https://hh.ru/vacancy/119319907,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Транспорт, логистика, перевозки"
Подсобный рабочий в ремонтно-строительную бригаду,ГБУЗВО Областная клиническая больница г.Владимир,от 35000 руб.,https://hh.ru/vacancy/120703099,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Строительство, недвижимость"
Врач клинической лабораторной диагностики,ГБУЗВО Областная клиническая больница г.Владимир,от 60000 руб.,https://hh.ru/vacancy/120706885,Владимир,18.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Менеджер по работе с клиентами,ЗСО МАРКЕТ,от 55000 руб.,https://hh.ru/vacancy/120995168,Владимир,19.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Ведущий бухгалтер по учету материальных ценностей,ГКУ ВО ЦЗН Владимирской области,от 45000 руб.,https://hh.ru/vacancy/117437913,Владимир,28.05.2025,Данные отсутствуют,Город Владимир,"Искусство, развлечения, массмедиа"
Медицинская сестра/Медицинский брат,Мединвестгрупп,Данные отсутствуют,https://hh.ru/vacancy/117492992,Владимир,23.05.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Мастер-приемщик в автосервис,ГК Автотракт,80000-170000 руб.,https://hh.ru/vacancy/121521145,Владимир,10.06.2025,Данные отсутствуют,Город Владимир,Другое
Врач - эксперт,Ингосстрах,Данные отсутствуют,https://hh.ru/vacancy/121621454,Владимир,13.06.2025,Данные отсутствуют,Город Владимир,"Медицина, фармацевтика"
Токарь,Владимирский завод Электроприбор,до 90000 руб.,https://hh.ru/vacancy/120243923,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,Рабочий персонал
Руководитель группы специалистов (Федеральное подразделение),Филиал ГКУ Владимирской области Центр занятости населения Владимирской области Владимирский,Данные отсутствуют,https://hh.ru/vacancy/121023433,Владимир,27.05.2025,Данные отсутствуют,Город Владимир,Высший и средний менеджмент
Менеджер по продажам,Холдинговая Компания Тандем,70000-80000 руб.,https://hh.ru/vacancy/121236710,Владимир,17.06.2025,Данные отсутствуют,Город Владимир,"Продажи, обслуживание клиентов"
Резчик Мясопродуктов,Abi,66000-66000 руб.,https://hh.ru/vacancy/121239328,Юрьев-Польский,02.06.2025,Данные отсутствуют,Юрьев-Польский муниципальный округ,Другое
Мастер,Abi,Данные отсутствуют,https://hh.ru/vacancy/120619462,Владимир,11.06.2025,Данные отсутствуют,Город Владимир,Другое
